[17:26:07] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[17:26:07] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[17:26:07] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/warworld/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[17:26:12] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[17:26:14] [main/INFO]: Loaded 7 recipes
[17:26:14] [main/INFO]: Loaded 1271 advancements
[17:26:15] [Server thread/INFO]: Starting minecraft server version 1.20.1
[17:26:15] [Server thread/INFO]: Loading properties
[17:26:15] [Server thread/INFO]: Default game type: SURVIVAL
[17:26:15] [Server thread/INFO]: Generating keypair
[17:26:15] [Server thread/INFO]: Starting Minecraft server on *:25565
[17:26:15] [Server thread/INFO]: Using epoll channel type
[17:26:15] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[17:26:15] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[17:26:15] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[17:26:15] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[17:26:15] [Server thread/INFO]: Preparing level "world"
[17:26:20] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[17:26:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:26:21] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:26:22] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:26:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:26:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:26:23] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:26:23] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[17:26:24] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[17:26:25] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[17:26:25] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[17:26:25] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[17:26:26] [Worker-Main-1/INFO]: Preparing spawn area: 6%
[17:26:26] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[17:26:27] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[17:26:27] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[17:26:28] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[17:26:28] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[17:26:29] [Worker-Main-1/INFO]: Preparing spawn area: 17%
[17:26:29] [Worker-Main-1/INFO]: Preparing spawn area: 19%
[17:26:30] [Worker-Main-1/INFO]: Preparing spawn area: 22%
[17:26:30] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[17:26:31] [Worker-Main-3/INFO]: Preparing spawn area: 28%
[17:26:31] [Worker-Main-3/INFO]: Preparing spawn area: 30%
[17:26:32] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[17:26:32] [Worker-Main-1/INFO]: Preparing spawn area: 34%
[17:26:33] [Worker-Main-3/INFO]: Preparing spawn area: 37%
[17:26:33] [Worker-Main-1/INFO]: Preparing spawn area: 41%
[17:26:34] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[17:26:34] [Worker-Main-1/INFO]: Preparing spawn area: 45%
[17:26:35] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[17:26:35] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[17:26:36] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[17:26:36] [Worker-Main-3/INFO]: Preparing spawn area: 57%
[17:26:37] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[17:26:37] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[17:26:38] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[17:26:38] [Worker-Main-3/INFO]: Preparing spawn area: 70%
[17:26:39] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[17:26:39] [Worker-Main-3/INFO]: Preparing spawn area: 75%
[17:26:40] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[17:26:40] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[17:26:41] [Worker-Main-2/INFO]: Preparing spawn area: 85%
[17:26:41] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[17:26:42] [Worker-Main-1/INFO]: Preparing spawn area: 90%
[17:26:42] [Worker-Main-1/INFO]: Preparing spawn area: 94%
[17:26:43] [Worker-Main-1/INFO]: Preparing spawn area: 98%
[17:26:43] [Server thread/INFO]: Time elapsed: 22714 ms
[17:26:43] [Server thread/INFO]: Done (28.365s)! For help, type "help"
